Survived,Pclass,Age,Fare,family_cnt,Sex,Cabin_ind
1,3,29.69911765,7.75,0,0,0
1,1,62,80,0,1,1
1,3,15,14.4542,1,1,0
1,2,0.83,18.75,2,0,0
0,3,29.69911765,7.2292,0,0,0
0,3,23,7.8542,0,0,0
0,3,18,8.3,0,0,0
1,1,39,83.1583,2,1,1
0,3,21,8.6625,0,0,0
0,3,29.69911765,8.05,0,0,0
1,3,32,56.4958,0,0,0
1,1,29.69911765,29.7,0,0,1
0,3,20,7.925,0,0,0
0,2,16,10.5,0,0,0
1,1,30,31,0,1,0
0,3,34.5,6.4375,0,0,0
0,3,17,8.6625,0,0,0
0,3,42,7.55,0,0,0
0,3,29.69911765,69.55,10,0,0
0,3,35,7.8958,0,0,0
0,2,28,33,1,0,0
1,1,29.69911765,89.1042,1,1,1
0,3,4,31.275,6,0,0
0,3,74,7.775,0,0,0
0,3,9,15.2458,2,1,0
1,1,16,39.4,1,1,1
0,2,44,26,1,1,0
1,3,18,9.35,1,1,0
1,1,45,164.8667,2,1,0
1,1,51,26.55,0,0,1
1,3,24,19.2583,3,1,0
0,3,29.69911765,7.2292,0,0,0
0,3,41,14.1083,2,0,0
0,2,21,11.5,1,0,0
1,1,48,25.9292,0,1,1
0,3,29.69911765,69.55,10,1,0
0,2,24,13,0,0,0
1,2,42,13,0,1,0
1,2,27,13.8583,1,1,0
0,1,31,50.4958,0,0,1
0,3,29.69911765,9.5,0,0,0
1,3,4,11.1333,2,0,0
0,3,26,7.8958,0,0,0
1,1,47,52.5542,2,1,1
0,1,33,5,0,0,1
0,3,47,9,0,0,0
1,2,28,24,1,1,0
1,3,15,7.225,0,1,0
0,3,20,9.8458,0,0,0
0,3,19,7.8958,0,0,0
0,3,29.69911765,7.8958,0,0,0
1,1,56,83.1583,1,1,1
1,2,25,26,1,1,0
0,3,33,7.8958,0,0,0
0,3,22,10.5167,0,1,0
0,2,28,10.5,0,0,0
0,3,25,7.05,0,0,0
0,3,39,29.125,5,1,0
0,2,27,13,0,0,0
1,1,19,30,0,1,1
0,3,29.69911765,23.45,3,1,0
1,1,26,30,0,0,1
0,3,32,7.75,0,0,0
